incident_id,report_year,state,district,name,location,nh_sh_affected,latitude,longitude,date_of_event,rainfall_mm,type_of_event,casualty,computed_severity,source,slide_id
300,2025,Nagaland,Kohima,KMC Dumping Landslide,Near old Kohima Municipal Council (KMC) dumping site,NH 29,25.710898,94.068536,2024-10-04,16.38,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Nagaland/183
301,2025,Nagaland,Shamator,Chessore Landslide,Keku colony of Chessore area,,26.090935,94.746775,2024-07-05,106.7,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Nagaland/116
302,2025,Nagaland,Zunheboto,Alahuto Landslide,Alahuto Colony of Zunheboto Town,,26.015899,94.531077,2024-07-07,10.85,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2024/Nagaland/128
303,2025,Nagaland,Kohima,KMC Dumping Landslide,Near old Kohima Municipal Council (KMC) dumping site,NH 29,25.710966,94.068528,2024-09-09,45.03,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Nagaland/177
304,2025,Nagaland,Kohima,Seca Khel Landslide,Kigwema- Mima- Chakhabama Road,,25.607096,94.12725,2024-07-12,18.59,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Nagaland/124
305,2025,Nagaland,Kiphire,Lophukhong Landslide,Near Lophukhong Village,,25.699199,94.930126,2024-08-12,57.46,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Nagaland/156
306,2025,Nagaland,Kohima,Zubza Landslide,Kohima Dimapur Highway,NH 29,25.724445,94.034266,2024-08-14,4.66,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Nagaland/158
307,2025,Nagaland,Wokha,Wokha Landslide,Near Wokha village 'B' Khel,NH 2,26.107402,94.255575,2024-07-15,3.34,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2024/Nagaland/132
308,2025,Nagaland,Kiphire,Medical Ward Landslide,"Medical ward, Kiphire",,25.881651,94.780119,2024-06-16,0.21,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2024/Nagaland/56
309,2025,Nagaland,Wokha,Tchuyiro colony Landslide,Tchuyiro colony area in Wokha Town,,26.09928,94.25861,2024-07-22,15.09,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Nagaland/135
